year,level,course,sex,enrolment_secondary
1987,Secondary 2,Special,MF,2203
1987,Secondary 2,Special,F,1044
1987,Secondary 3,Express,MF,25340
1987,Secondary 3,Express,F,12757
1987,Secondary 3,Normal (Acad),MF,14194
1987,Secondary 3,Normal (Acad),F,6769
1987,Secondary 3,Normal (Tech),MF,0
1987,Secondary 3,Normal (Tech),F,0
1987,Secondary 3,Special,MF,2194
1987,Secondary 3,Special,F,1145
1987,Secondary 4,Express,MF,24134
1987,Secondary 4,Express,F,12323
1987,Secondary 4,Normal (Acad),MF,12985
1987,Secondary 4,Normal (Acad),F,6313
1987,Secondary 4,Normal (Tech),MF,0
1987,Secondary 4,Normal (Tech),F,0
1987,Secondary 4,Special,MF,1791
1987,Secondary 4,Special,F,973
1987,Secondary 5,Normal (Acad),MF,11155
1987,Secondary 5,Normal (Acad),F,5328
1988,Secondary 1,Express,MF,20599
1988,Secondary 1,Express,F,10145
1988,Secondary 1,Normal (Acad),MF,13916
1988,Secondary 1,Normal (Acad),F,6612
1988,Secondary 1,Normal (Tech),MF,0
1988,Secondary 1,Normal (Tech),F,0
1988,Secondary 1,Special,MF,2205
1988,Secondary 1,Special,F,1083
1988,Secondary 2,Express,MF,23144
1988,Secondary 2,Express,F,11564
1988,Secondary 2,Normal (Acad),MF,13462
1988,Secondary 2,Normal (Acad),F,6238
1988,Secondary 2,Normal (Tech),MF,0
1988,Secondary 2,Normal (Tech),F,0
1988,Secondary 2,Special,MF,2197
1988,Secondary 2,Special,F,1078
1988,Secondary 3,Express,MF,24656
1988,Secondary 3,Express,F,12363
1988,Secondary 3,Normal (Acad),MF,13840
1988,Secondary 3,Normal (Acad),F,6453
1988,Secondary 3,Normal (Tech),MF,0
1988,Secondary 3,Normal (Tech),F,0
1988,Secondary 3,Special,MF,2234
1988,Secondary 3,Special,F,1068
1988,Secondary 4,Express,MF,25393
1988,Secondary 4,Express,F,12872
1988,Secondary 4,Normal (Acad),MF,13949
1988,Secondary 4,Normal (Acad),F,6730
1988,Secondary 4,Normal (Tech),MF,0
1988,Secondary 4,Normal (Tech),F,0
1988,Secondary 4,Special,MF,2159
1988,Secondary 4,Special,F,1133
1988,Secondary 5,Normal (Acad),MF,10349
1988,Secondary 5,Normal (Acad),F,5096
1989,Secondary 1,Express,MF,21385
1989,Secondary 1,Express,F,10537
1989,Secondary 1,Normal (Acad),MF,14419
1989,Secondary 1,Normal (Acad),F,6740
1989,Secondary 1,Normal (Tech),MF,0
1989,Secondary 1,Normal (Tech),F,0
1989,Secondary 1,Special,MF,2227
1989,Secondary 1,Special,F,1120
1989,Secondary 2,Express,MF,21256
1989,Secondary 2,Express,F,10599
1989,Secondary 2,Normal (Acad),MF,12939
1989,Secondary 2,Normal (Acad),F,6056
1989,Secondary 2,Normal (Tech),MF,0
1989,Secondary 2,Normal (Tech),F,0
1989,Secondary 2,Special,MF,2185
1989,Secondary 2,Special,F,1064
1989,Secondary 3,Express,MF,23453
1989,Secondary 3,Express,F,11730
1989,Secondary 3,Normal (Acad),MF,13204
1989,Secondary 3,Normal (Acad),F,6153
1989,Secondary 3,Normal (Tech),MF,0
1989,Secondary 3,Normal (Tech),F,0
1989,Secondary 3,Special,MF,2192
1989,Secondary 3,Special,F,1079
1989,Secondary 4,Express,MF,25141
1989,Secondary 4,Express,F,12708
1989,Secondary 4,Normal (Acad),MF,13762
1989,Secondary 4,Normal (Acad),F,6531
1989,Secondary 4,Normal (Tech),MF,0
1989,Secondary 4,Normal (Tech),F,0
1989,Secondary 4,Special,MF,2204
1989,Secondary 4,Special,F,1054
1989,Secondary 5,Normal (Acad),MF,11462
1989,Secondary 5,Normal (Acad),F,5662
1990,Secondary 1,Express,MF,20113
1990,Secondary 1,Express,F,10027
1990,Secondary 1,Normal (Acad),MF,13292
1990,Secondary 1,Normal (Acad),F,6279
1990,Secondary 1,Normal (Tech),MF,0
1990,Secondary 1,Normal (Tech),F,0
1990,Secondary 1,Special,MF,2354
1990,Secondary 1,Special,F,1133
1990,Secondary 2,Express,MF,22336
1990,Secondary 2,Express,F,11114
1990,Secondary 2,Normal (Acad),MF,13167
1990,Secondary 2,Normal (Acad),F,6093
1990,Secondary 2,Normal (Tech),MF,0
1990,Secondary 2,Normal (Tech),F,0
1990,Secondary 2,Special,MF,2278
1990,Secondary 2,Special,F,1134
1990,Secondary 3,Express,MF,21503
1990,Secondary 3,Express,F,10790
1990,Secondary 3,Normal (Acad),MF,12623
1990,Secondary 3,Normal (Acad),F,5897
