year,level,course,sex,enrolment_preu
1987,Junior College 1,Science,F,2410
1987,Junior College 2,Arts,MF,2176
1987,Junior College 2,Arts,F,1582
1987,Junior College 2,Commerce,MF,2603
1987,Junior College 2,Commerce,F,1887
1987,Junior College 2,Science,MF,5838
1987,Junior College 2,Science,F,2106
1987,Pre-University 1,Arts,MF,718
1987,Pre-University 1,Arts,F,416
1987,Pre-University 1,Commerce,MF,1742
1987,Pre-University 1,Commerce,F,1195
1987,Pre-University 1,Science,MF,226
1987,Pre-University 1,Science,F,71
1987,Pre-University 2,Arts,MF,706
1987,Pre-University 2,Arts,F,422
1987,Pre-University 2,Commerce,MF,1212
1987,Pre-University 2,Commerce,F,818
1987,Pre-University 2,Science,MF,305
1987,Pre-University 2,Science,F,115
1987,Pre-University 3,Arts,MF,698
1987,Pre-University 3,Arts,F,437
1987,Pre-University 3,Commerce,MF,1086
1987,Pre-University 3,Commerce,F,766
1987,Pre-University 3,Science,MF,314
1987,Pre-University 3,Science,F,134
1988,Junior College 1,Arts,MF,2991
1988,Junior College 1,Arts,F,2163
1988,Junior College 1,Commerce,MF,3393
1988,Junior College 1,Commerce,F,2525
1988,Junior College 1,Science,MF,7557
1988,Junior College 1,Science,F,2811
1988,Junior College 2,Arts,MF,2467
1988,Junior College 2,Arts,F,1731
1988,Junior College 2,Commerce,MF,2422
1988,Junior College 2,Commerce,F,1748
1988,Junior College 2,Science,MF,6138
1988,Junior College 2,Science,F,2284
1988,Pre-University 1,Arts,MF,797
1988,Pre-University 1,Arts,F,496
1988,Pre-University 1,Commerce,MF,1840
1988,Pre-University 1,Commerce,F,1247
1988,Pre-University 1,Science,MF,207
1988,Pre-University 1,Science,F,81
1988,Pre-University 2,Arts,MF,611
1988,Pre-University 2,Arts,F,346
1988,Pre-University 2,Commerce,MF,1534
1988,Pre-University 2,Commerce,F,1059
1988,Pre-University 2,Science,MF,128
1988,Pre-University 2,Science,F,40
1988,Pre-University 3,Arts,MF,642
1988,Pre-University 3,Arts,F,389
1988,Pre-University 3,Commerce,MF,1081
1988,Pre-University 3,Commerce,F,737
1988,Pre-University 3,Science,MF,274
1988,Pre-University 3,Science,F,98
1989,Junior College 1,Arts,MF,2157
1989,Junior College 1,Arts,F,1554
1989,Junior College 1,Commerce,MF,2477
1989,Junior College 1,Commerce,F,1856
1989,Junior College 1,Science,MF,6789
1989,Junior College 1,Science,F,2582
1989,Junior College 2,Arts,MF,2720
1989,Junior College 2,Arts,F,1958
1989,Junior College 2,Commerce,MF,3166
1989,Junior College 2,Commerce,F,2366
1989,Junior College 2,Science,MF,7174
1989,Junior College 2,Science,F,2673
1989,Pre-University 1,Arts,MF,492
1989,Pre-University 1,Arts,F,311
1989,Pre-University 1,Commerce,MF,1837
1989,Pre-University 1,Commerce,F,1302
1989,Pre-University 1,Science,MF,343
1989,Pre-University 1,Science,F,105
1989,Pre-University 2,Arts,MF,625
1989,Pre-University 2,Arts,F,394
1989,Pre-University 2,Commerce,MF,1683
1989,Pre-University 2,Commerce,F,1137
1989,Pre-University 2,Science,MF,129
1989,Pre-University 2,Science,F,57
1989,Pre-University 3,Arts,MF,577
1989,Pre-University 3,Arts,F,335
1989,Pre-University 3,Commerce,MF,1423
1989,Pre-University 3,Commerce,F,976
1989,Pre-University 3,Science,MF,137
1989,Pre-University 3,Science,F,37
1990,Junior College 1,Arts,MF,1992
1990,Junior College 1,Arts,F,1408
1990,Junior College 1,Commerce,MF,2685
1990,Junior College 1,Commerce,F,1951
1990,Junior College 1,Science,MF,6370
1990,Junior College 1,Science,F,2464
1990,Junior College 2,Arts,MF,2056
1990,Junior College 2,Arts,F,1489
1990,Junior College 2,Commerce,MF,2399
1990,Junior College 2,Commerce,F,1809
1990,Junior College 2,Science,MF,6593
1990,Junior College 2,Science,F,2504
1990,Pre-University 1,Arts,MF,351
1990,Pre-University 1,Arts,F,253
1990,Pre-University 1,Commerce,MF,1901
1990,Pre-University 1,Commerce,F,1382
1990,Pre-University 1,Science,MF,280
1990,Pre-University 1,Science,F,85
1990,Pre-University 2,Arts,MF,416
1990,Pre-University 2,Arts,F,269
1990,Pre-University 2,Commerce,MF,1707
1990,Pre-University 2,Commerce,F,1208
1990,Pre-University 2,Science,MF,204
1990,Pre-University 2,Science,F,80
1990,Pre-University 3,Arts,MF,575
1990,Pre-University 3,Arts,F,367
1990,Pre-University 3,Commerce,MF,1567
1990,Pre-University 3,Commerce,F,1061
1990,Pre-University 3,Science,MF,118
1990,Pre-University 3,Science,F,48
1991,Junior College 1,Arts,MF,1757
1991,Junior College 1,Arts,F,1321
1991,Junior College 1,Commerce,MF,2415
1991,Junior College 1,Commerce,F,1765
1991,Junior College 1,Science,MF,5947
1991,Junior College 1,Science,F,2288
1991,Junior College 2,Arts,MF,1891
1991,Junior College 2,Arts,F,1332
1991,Junior College 2,Commerce,MF,2494
1991,Junior College 2,Commerce,F,1818
1991,Junior College 2,Science,MF,6075
1991,Junior College 2,Science,F,2346
1991,Pre-University 1,Arts,MF,334
1991,Pre-University 1,Arts,F,224
1991,Pre-University 1,Commerce,MF,1820
1991,Pre-University 1,Commerce,F,1215
1991,Pre-University 1,Science,MF,279
1991,Pre-University 1,Science,F,105
1991,Pre-University 2,Arts,MF,274
1991,Pre-University 2,Arts,F,203
1991,Pre-University 2,Commerce,MF,1661
1991,Pre-University 2,Commerce,F,1209
1991,Pre-University 2,Science,MF,157
1991,Pre-University 2,Science,F,57
1991,Pre-University 3,Arts,MF,388
1991,Pre-University 3,Arts,F,259
1991,Pre-University 3,Commerce,MF,1557
